SA,DG,%N,%O,%S,%P,%B,CD,CAP,CONC
1122.5,0.85,,5.7,,,,20,200,6
2276.6,0.85,,6.8,,,,0.5,287.5,6
2276.6,0.85,,6.8,,,,1,268.75,6
2276.6,0.85,,6.8,,,,2,259.38,6
2276.6,0.85,,6.8,,,,5,253.13,6
2276.6,0.85,,6.8,,,,10,246.88,6
2276.6,0.85,,6.8,,,,20,237.5,6
2217.6,0.85,,7.4,,,,0.5,250,6
2217.6,0.85,,7.4,,,,1,251,6
2217.6,0.85,,7.4,,,,2,256.25,6
2217.6,0.85,,7.4,,,,5,246.88,6
2217.6,0.85,,7.4,,,,10,231.25,6
2217.6,0.85,,7.4,,,,20,230,6
1385.6,0.85,,6.5,,,,0.5,262.5,6
1385.6,0.85,,6.5,,,,1,256.25,6
1385.6,0.85,,6.5,,,,2,250,6
1385.6,0.85,,6.5,,,,5,234.38,6
1385.6,0.85,,6.5,,,,10,228.13,6
1385.6,0.85,,6.5,,,,20,218.75,6
1066.9,0.85,,6.7,,,,0.5,212.5,6
1066.9,0.85,,6.7,,,,1,212.6,6
1066.9,0.85,,6.7,,,,2,203.13,6
1066.9,0.85,,6.7,,,,5,196.88,6
1066.9,0.85,,6.7,,,,10,195,6
1066.9,0.85,,6.7,,,,20,190.63,6
1824.6,0.85,,7.1,,,,0.5,231.25,6
1824.6,0.85,,7.1,,,,1,228.13,6
1824.6,0.85,,7.1,,,,2,225,6
1824.6,0.85,,7.1,,,,5,215.63,6
1824.6,0.85,,7.1,,,,10,206.25,6
1824.6,0.85,,7.1,,,,20,200,6
887,0.85,3.4,,,,,1,286,6
71.5,1.3,,21.13,,,,0.4,260.5,6
71.5,1.3,,21.13,,,,1,224,6
71.5,1.3,,21.13,,,,2,212.5,6
71.5,1.3,,21.13,,,,4,200.6,6
71.5,1.3,,21.13,,,,6,194,6
71.5,1.3,,21.13,,,,8,188.5,6
71.5,1.3,,21.13,,,,10,178,6
71.5,1.3,,21.13,,,,20,155,6
96.78,1.3,,19.69,,,,0.4,225.7,6
96.78,1.3,,19.69,,,,1,205,6
96.78,1.3,,19.69,,,,2,192.5,6
96.78,1.3,,19.69,,,,4,179.3,6
96.78,1.3,,19.69,,,,6,173,6
96.78,1.3,,19.69,,,,8,162.7,6
96.78,1.3,,19.69,,,,10,159,6
96.78,1.3,,19.69,,,,20,138,6
180.71,1.31,,18.18,,,,0.4,195.9,6
180.71,1.31,,18.18,,,,1,175,6
180.71,1.31,,18.18,,,,2,160,6
180.71,1.31,,18.18,,,,4,155.7,6
180.71,1.31,,18.18,,,,6,154.9,6
180.71,1.31,,18.18,,,,8,152,6
180.71,1.31,,18.18,,,,10,143.75,6
180.71,1.31,,18.18,,,,20,126.3,6
227.05,1.21,,15.24,,,,0.4,105,6
227.05,1.21,,15.24,,,,1,68.7,6
227.05,1.21,,15.24,,,,2,62,6
227.05,1.21,,15.24,,,,4,56,6
227.05,1.21,,15.24,,,,6,54,6
227.05,1.21,,15.24,,,,8,53,6
227.05,1.21,,15.24,,,,10,51,6
227.05,1.21,,15.24,,,,20,48,6
215,1.26,,10.47,,,,0.4,61.6,6
215,1.26,,10.47,,,,1,50.5,6
215,1.26,,10.47,,,,2,46,6
215,1.26,,10.47,,,,4,39.5,6
215,1.26,,10.47,,,,6,39,6
215,1.26,,10.47,,,,8,38.5,6
